2^i iterative_(ns) divide_conquer_(ns)
0 31.3 33.8
1 32.4 56.7
2 38 82.1
3 36.4 103.4
4 39.3 123.9
5 43.3 152.8
6 49.8 168.3
7 69.3 230.2
8 70.3 259.5
9 57.1 226.6
10 62.6 245.1
11 59.6 255.7
12 71.4 297.7
13 62.3 292.4
14 66.8 311.5
15 73.9 342.1
16 77.3 346.8
17 77.2 384.9
18 84.5 399
19 85.6 416.1
